id;address;location;pincode
1;mindshare Interactions Versatile;Frozen Rubber line;42965
2;experiences bypassing needs-based;Dakota Customer;48615
3;Pants relationships Health;methodical;97887
4;purple Credit Developer;Chile;15877
5;index Berkshire;China generating solution;30524
6;Applications Pizza Expanded;navigate override SMTP;2352
7;Home Guilder;Human National Soap;61692
8;program transmit HTTP;Gardens alarm;69017
9;Canada withdrawal;USB National calculating;57589
10;Technician Accounts blue;generating Administrator;51232
